246,77,104,77
246,77,104,77
242,76,104,77
238,78,104,77
234,77,104,77
227,76,104,77
223,78,104,77
219,77,104,77
215,76,104,77
211,78,104,77
207,77,104,77
203,76,104,77
199,75,104,77
192,77,104,77
188,76,104,77
184,75,104,77
180,77,104,77
176,76,104,77
172,75,104,77
168,77,104,77
164,76,104,77
169,75,104,77
168,74,104,77
152,76,104,77
145,75,104,77
153,74,104,77
137,76,104,77
133,75,104,77
129,74,104,77
137,73,104,77
136,72,104,77
126,74,104,77
125,73,104,77
124,72,104,77
120,71,104,77
113,73,104,77
109,72,104,77
