229,83,124,61
229,83,124,61
225,82,124,61
221,84,124,61
214,83,124,61
213,82,124,61
206,84,124,61
202,83,124,61
198,82,124,61
194,84,124,61
190,83,124,61
186,82,124,61
182,81,124,61
175,83,124,61
171,82,124,61
167,81,124,61
163,83,124,61
159,82,124,61
155,81,124,61
151,83,124,61
147,82,124,61
143,81,124,61
154,80,124,61
153,79,124,61
149,81,124,61
145,80,124,61
141,79,124,61
137,78,124,61
124,80,124,61
123,79,124,61
125,78,124,61
112,80,124,61
111,79,124,61
107,78,124,61
118,77,124,61
102,79,124,61
95,78,124,61
94,77,124,61
87,79,124,61
86,78,124,61
82,77,124,61
78,76,124,61
74,78,124,61
70,77,124,61
66,76,124,61
59,78,124,61
55,77,124,61
57,76,124,61
50,78,124,61
46,77,124,61
45,76,124,61
44,75,124,61
40,77,124,61
36,76,124,61
35,75,124,61
31,77,124,61
27,76,124,61
26,75,124,61
22,74,124,61
18,76,124,61
17,75,124,61
13,74,124,61
10,76,124,61
4,75,124,61
1,74,124,61
1,76,124,61
1,75,124,61
1,74,124,61
10,73,124,61
22,72,124,61
30,71,124,61
38,73,124,61
37,72,124,61
42,74,124,61
29,73,124,61
34,72,124,61
36,71,124,61
32,73,124,61
37,72,124,61
39,74,124,61
50,73,124,61
52,72,124,61
45,74,124,61
38,73,124,61
34,72,124,61
27,74,124,61
38,73,124,61
37,72,124,61
36,74,124,61
32,73,124,61
34,72,124,61
27,74,124,61
20,73,124,61
16,75,124,61
19,74,124,61
21,73,124,61
32,75,124,61
40,74,124,61
33,73,124,61
26,75,124,61
34,74,124,61
36,76,124,61
35,75,124,61
37,74,124,61
42,76,124,61
41,75,124,61
34,74,124,61
24,76,124,61
14,75,124,61
22,83,124,61
30,76,124,61
35,75,124,61
22,74,124,61
30,73,124,61
